site_city,region
ADELANTO,South
AVENAL,South
BAKERSFIELD,South
BLYTHE,South
CAMARILLO,South
CASTAIC,South
CHINO    ,South
CORONA,South
DELANO,South
EL MONTE,South
FRESNO,South
HANFORD  ,South
LAKE HUGHES  ,South
LANCASTER,South
LOS ANGELES,South
NORCO,South
NORWALK   ,South
ONTARIO,South
SAN DIEGO,South
SAN LUIO OBISPO,South
SANTA ANA,South
SEELEY,South
SOLEDAD ,South
SUSANVILLE,South
SYLMAR,South
TAFT    ,South
TEHACHAPI,South
WASCO,South
WHITTIER,South
FRONTERA,South
CALIPATRIA,North
CHOWCHILLA,North
COALINGA,North
CORCORAN,North
DUBLIN,North
ELK GROVE,North
GALT,North
KLAMATH  ,North
LAKEPORT,North
MARTINEZ ,North
RED BLUFF,North
REPRESA,North
RICHMOND ,North
SACRAMENTO ,North
SAN JOSE     ,North
SAN QUENTIN,North
STOCKTON   ,North
TRACY    ,North
VACAVILLE,North
,
,
,
, 
,
